student_id,assessment_id,assessment_name,n_questions_entered,n_questions_attempted,n_assessment_questions,absent,mark,available_marks,created,last_updated
510b6,94245,Year 7 Term 3 Assessment,36,36,36,False,32.0,60,2024-07-01 17:07:28.710593+00:00,2024-07-01 17:23:06.066434+00:00
9e9ea,94245,Year 7 Term 3 Assessment,36,36,36,False,10.0,60,2024-07-15 13:47:16.545729+00:00,2024-07-15 13:48:19.857513+00:00
66cf0,94245,Year 7 Term 3 Assessment,36,36,36,False,31.0,60,2024-07-16 08:25:39.318428+00:00,2024-07-16 08:27:57.380335+00:00
0b4fa,94245,Year 7 Term 3 Assessment,36,36,36,False,49.0,60,2024-07-16 11:20:54.506568+00:00,2024-07-16 11:22:35.087201+00:00
42592,94245,Year 7 Term 3 Assessment,36,36,36,False,40.0,60,2024-06-17 09:58:31.669181+00:00,2024-06-17 10:05:39.236166+00:00
5451b,94245,Year 7 Term 3 Assessment,36,36,36,False,43.0,60,2024-07-19 05:19:37.922278+00:00,2024-07-19 05:27:45.079722+00:00
9d388,94245,Year 7 Term 3 Assessment,36,36,36,False,24.0,60,2024-06-27 11:34:21.969358+00:00,2024-06-27 11:37:07.692880+00:00
35b85,94245,Year 7 Term 3 Assessment,36,36,36,False,18.0,60,2024-06-26 10:26:12.495214+00:00,2024-06-26 10:34:51.096367+00:00
5793e,94245,Year 7 Term 3 Assessment,36,36,36,False,50.0,60,2024-06-17 08:21:45.218489+00:00,2024-06-17 08:36:37.453595+00:00
94fb1,94245,Year 7 Term 3 Assessment,36,36,36,False,27.0,60,2024-07-14 21:00:16.103316+00:00,2024-07-14 21:05:56.145437+00:00
e8e41,94245,Year 7 Term 3 Assessment,36,36,36,False,53.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:23:37.774231+00:00
c6974,94245,Year 7 Term 3 Assessment,26,26,36,False,4.0,60,2024-07-08 08:12:26.481209+00:00,2024-07-08 08:25:28.130050+00:00
188d7,94245,Year 7 Term 3 Assessment,36,33,36,False,41.0,60,2024-06-27 15:05:01.293669+00:00,2024-06-27 15:09:23.645044+00:00
55f0a,94245,Year 7 Term 3 Assessment,36,29,36,False,33.0,60,2024-07-17 11:23:23.677066+00:00,2024-07-17 11:24:39.445154+00:00
af78f,94245,Year 7 Term 3 Assessment,36,36,36,False,13.0,60,2024-07-28 13:58:40.532958+00:00,2024-07-28 14:38:56.129365+00:00
0ac1c,94245,Year 7 Term 3 Assessment,36,36,36,False,8.0,60,2024-07-15 09:09:11.312540+00:00,2024-07-15 09:41:45.099252+00:00
7a729,94245,Year 7 Term 3 Assessment,36,17,36,False,7.0,60,2024-07-14 19:47:36.020794+00:00,2024-07-14 19:58:45.608356+00:00
a0a0e,94245,Year 7 Term 3 Assessment,36,36,36,False,19.0,60,2024-07-02 08:45:46.961725+00:00,2024-07-02 09:06:11.566196+00:00
8bbc9,94245,Year 7 Term 3 Assessment,36,36,36,False,41.0,60,2024-06-27 14:18:23.948111+00:00,2024-06-27 14:20:34.900343+00:00
f3c65,94245,Year 7 Term 3 Assessment,36,36,36,False,49.0,60,2024-07-02 08:37:05.468296+00:00,2024-07-02 08:53:39.292631+00:00
5c746,94245,Year 7 Term 3 Assessment,36,36,36,False,41.0,60,2024-06-18 10:19:36.876478+00:00,2024-06-18 10:33:35.233156+00:00
6f1da,94245,Year 7 Term 3 Assessment,36,35,36,False,39.0,60,2024-07-17 14:47:39.329509+00:00,2024-07-17 15:10:07.429414+00:00
b3486,94245,Year 7 Term 3 Assessment,36,36,36,False,28.0,60,2024-07-11 14:32:04.901362+00:00,2024-07-11 15:01:52.148174+00:00
c86e4,94245,Year 7 Term 3 Assessment,36,36,36,False,31.0,60,2024-07-19 05:19:37.922278+00:00,2024-07-19 05:26:42.761633+00:00
a603b,94245,Year 7 Term 3 Assessment,36,32,36,False,29.0,60,2024-07-11 14:41:38.496331+00:00,2024-07-11 14:57:47.516089+00:00
a1154,94245,Year 7 Term 3 Assessment,36,36,36,False,24.0,60,2024-07-16 09:40:41.020729+00:00,2024-07-16 10:02:04.081315+00:00
4cf85,94245,Year 7 Term 3 Assessment,36,36,36,False,44.0,60,2024-10-03 14:55:34.611965+00:00,2024-10-03 15:41:45.415072+00:00
9188b,94245,Year 7 Term 3 Assessment,36,36,36,False,42.0,60,2024-07-15 08:12:58.384661+00:00,2024-07-15 08:39:01.261690+00:00
ef7bb,94245,Year 7 Term 3 Assessment,36,36,36,False,26.0,60,2024-07-14 21:00:16.103316+00:00,2024-07-14 22:04:29.679318+00:00
0fe5e,94245,Year 7 Term 3 Assessment,36,36,36,False,4.0,60,2024-07-15 10:31:21.150496+00:00,2024-07-15 10:35:17.723725+00:00
895a3,94245,Year 7 Term 3 Assessment,36,36,36,False,33.0,60,2024-07-12 10:37:33.645994+00:00,2024-07-12 10:44:17.916913+00:00
ff9df,94245,Year 7 Term 3 Assessment,36,36,36,False,10.0,60,2024-07-02 18:23:45.900253+00:00,2024-07-02 18:27:30.919369+00:00
39745,94245,Year 7 Term 3 Assessment,36,29,36,False,25.0,60,2024-07-14 07:25:18.238933+00:00,2024-07-14 07:30:23.140044+00:00
3abcc,94245,Year 7 Term 3 Assessment,36,36,36,False,52.0,60,2024-07-11 14:41:40.780067+00:00,2024-07-11 14:48:17.163234+00:00
6e449,94245,Year 7 Term 3 Assessment,36,36,36,False,20.0,60,2024-06-27 11:34:21.969358+00:00,2024-06-27 11:38:45.081891+00:00
16b45,94245,Year 7 Term 3 Assessment,36,36,36,False,42.0,60,2024-06-27 14:25:38.870882+00:00,2024-06-27 14:40:05.091877+00:00
1a04e,94245,Year 7 Term 3 Assessment,36,36,36,False,34.0,60,2024-07-15 10:48:05.464018+00:00,2024-07-15 10:53:27.711686+00:00
7369e,94245,Year 7 Term 3 Assessment,36,36,36,False,45.0,60,2024-07-11 14:41:40.780067+00:00,2024-07-11 15:02:20.136935+00:00
2d3ac,94245,Year 7 Term 3 Assessment,36,36,36,False,38.0,60,2024-07-12 10:37:33.645994+00:00,2024-07-12 10:40:56.422300+00:00
519de,94245,Year 7 Term 3 Assessment,36,36,36,False,42.0,60,2024-07-15 06:43:41.674029+00:00,2024-07-15 06:51:39.171896+00:00
f92cd,94245,Year 7 Term 3 Assessment,36,36,36,False,7.0,60,2024-07-01 13:38:26.455302+00:00,2024-07-01 13:41:24.521364+00:00
77e3c,94245,Year 7 Term 3 Assessment,36,36,36,False,49.0,60,2024-07-12 13:12:57.391124+00:00,2024-07-12 13:52:32.953686+00:00
ec43a,94245,Year 7 Term 3 Assessment,36,36,36,False,36.0,60,2024-07-18 11:48:30.281149+00:00,2024-07-18 11:51:43.215846+00:00
9b856,94245,Year 7 Term 3 Assessment,36,36,36,False,19.0,60,2024-07-19 08:36:38.241320+00:00,2024-07-19 08:44:36.316501+00:00
c2399,94245,Year 7 Term 3 Assessment,36,36,36,False,47.0,60,2024-07-02 08:37:05.468296+00:00,2024-07-02 08:48:34.025547+00:00
d676d,94245,Year 7 Term 3 Assessment,36,36,36,False,9.0,60,2024-07-19 08:36:38.241320+00:00,2024-07-19 08:40:46.485372+00:00
a7935,94245,Year 7 Term 3 Assessment,36,36,36,False,11.0,60,2024-07-14 18:34:27.878018+00:00,2024-07-14 19:40:46.326569+00:00
da778,94245,Year 7 Term 3 Assessment,36,36,36,False,53.0,60,2024-07-14 06:37:34.058386+00:00,2024-07-14 06:52:57.455727+00:00
1c4f5,94245,Year 7 Term 3 Assessment,36,36,36,False,49.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:24:50.662737+00:00
38eee,94245,Year 7 Term 3 Assessment,36,36,36,False,31.0,60,2024-07-15 18:06:59.234021+00:00,2024-07-15 18:37:56.936057+00:00
55f40,94245,Year 7 Term 3 Assessment,36,36,36,False,38.0,60,2024-07-04 07:52:38.344720+00:00,2024-07-04 08:05:29.716424+00:00
785bb,94245,Year 7 Term 3 Assessment,36,36,36,False,50.0,60,2024-07-15 12:19:54.499945+00:00,2024-07-15 12:26:46.635981+00:00
35987,94245,Year 7 Term 3 Assessment,36,36,36,False,9.0,60,2024-06-30 19:48:12.065598+00:00,2024-06-30 19:55:36.123024+00:00
3ec41,94245,Year 7 Term 3 Assessment,36,36,36,False,19.0,60,2024-07-14 13:26:10.000316+00:00,2024-07-14 13:38:41.912810+00:00
959ff,94245,Year 7 Term 3 Assessment,36,36,36,False,19.0,60,2024-06-16 11:42:16.657401+00:00,2024-06-18 15:10:47.764300+00:00
a006b,94245,Year 7 Term 3 Assessment,36,36,36,False,50.0,60,2024-07-02 08:37:05.468296+00:00,2024-07-02 08:49:27.681350+00:00
d5ca6,94245,Year 7 Term 3 Assessment,36,36,36,False,31.0,60,2024-07-04 07:52:38.344720+00:00,2024-07-04 08:06:58.663344+00:00
9e75f,94245,Year 7 Term 3 Assessment,36,36,36,False,28.0,60,2024-10-04 19:01:30.773688+00:00,2024-10-04 19:07:00.590452+00:00
87587,94245,Year 7 Term 3 Assessment,36,36,36,False,22.0,60,2024-07-15 09:09:11.312540+00:00,2024-07-15 09:53:27.788468+00:00
df664,94245,Year 7 Term 3 Assessment,36,36,36,False,26.0,60,2024-06-27 11:34:21.969358+00:00,2024-06-27 11:37:41.499944+00:00
11770,94245,Year 7 Term 3 Assessment,36,36,36,False,34.0,60,2024-07-03 14:21:51.646968+00:00,2024-07-03 14:36:53.383371+00:00
2731c,94245,Year 7 Term 3 Assessment,36,36,36,False,33.0,60,2024-07-16 06:48:26.881357+00:00,2024-07-16 06:51:32.770381+00:00
d00b1,94245,Year 7 Term 3 Assessment,36,36,36,False,37.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:24:10.504405+00:00
a167d,94245,Year 7 Term 3 Assessment,36,36,36,False,58.0,60,2024-07-08 13:52:46.036772+00:00,2024-07-08 14:23:08.203341+00:00
06c27,94245,Year 7 Term 3 Assessment,36,36,36,False,26.0,60,2024-07-16 12:33:36.312098+00:00,2024-07-16 12:34:09.130765+00:00
5a4f3,94245,Year 7 Term 3 Assessment,36,36,36,False,41.0,60,2024-07-11 14:32:04.901362+00:00,2024-07-11 15:16:50.149207+00:00
c5778,94245,Year 7 Term 3 Assessment,36,23,36,False,16.0,60,2024-07-15 13:10:02.983138+00:00,2024-07-15 13:11:42.806654+00:00
20db9,94245,Year 7 Term 3 Assessment,36,36,36,False,17.0,60,2024-07-18 11:48:30.281149+00:00,2024-07-18 12:15:07.554954+00:00
dbc7a,94245,Year 7 Term 3 Assessment,36,36,36,False,7.0,60,2024-07-15 09:09:11.312540+00:00,2024-07-15 09:54:58.653558+00:00
b8cbf,94245,Year 7 Term 3 Assessment,36,33,36,False,26.0,60,2024-07-17 14:47:39.329509+00:00,2024-07-17 14:59:29.058767+00:00
7e934,94245,Year 7 Term 3 Assessment,36,36,36,False,36.0,60,2024-07-11 13:48:14.572604+00:00,2024-07-11 14:12:46.605022+00:00
551d2,94245,Year 7 Term 3 Assessment,36,36,36,False,45.0,60,2024-07-15 10:48:05.464018+00:00,2024-07-15 11:02:09.822317+00:00
725aa,94245,Year 7 Term 3 Assessment,36,36,36,False,10.0,60,2024-07-02 18:23:45.900253+00:00,2024-07-02 18:34:45.011980+00:00
1db81,94245,Year 7 Term 3 Assessment,36,36,36,False,19.0,60,2024-07-04 11:38:54.118815+00:00,2024-07-04 11:56:15.643791+00:00
4c054,94245,Year 7 Term 3 Assessment,36,36,36,False,9.0,60,2024-07-15 13:47:16.545729+00:00,2024-07-15 13:53:56.294253+00:00
e152b,94245,Year 7 Term 3 Assessment,36,36,36,False,60.0,60,2024-07-19 08:32:33.367811+00:00,2024-07-19 08:34:31.485558+00:00
9b5d1,94245,Year 7 Term 3 Assessment,36,36,36,False,2.0,60,2024-07-10 20:18:48.975314+00:00,2024-07-10 21:07:30.419119+00:00
6fa6b,94245,Year 7 Term 3 Assessment,36,36,36,True,0.0,60,2024-07-01 13:38:26.455302+00:00,2024-07-01 13:44:49.577087+00:00
21e16,94245,Year 7 Term 3 Assessment,36,36,36,False,54.0,60,2024-07-17 13:47:38.867060+00:00,2024-07-17 13:56:22.397948+00:00
28ec8,94245,Year 7 Term 3 Assessment,36,27,36,False,30.0,60,2024-07-14 18:34:27.878018+00:00,2024-07-14 19:12:09.516812+00:00
9d02e,94245,Year 7 Term 3 Assessment,36,36,36,False,55.0,60,2024-07-15 12:19:54.499945+00:00,2024-07-15 12:31:56.209731+00:00
89dcb,94245,Year 7 Term 3 Assessment,36,36,36,False,39.0,60,2024-07-14 11:33:40.371495+00:00,2024-07-14 11:35:58.504211+00:00
40531,94245,Year 7 Term 3 Assessment,36,36,36,False,40.0,60,2024-07-12 13:12:57.391124+00:00,2024-07-12 13:31:56.373599+00:00
05f17,94245,Year 7 Term 3 Assessment,36,36,36,False,41.0,60,2024-07-14 11:01:22.582547+00:00,2024-07-14 11:18:23.533076+00:00
80181,94245,Year 7 Term 3 Assessment,36,35,36,False,39.0,60,2024-07-16 08:25:39.318428+00:00,2024-07-16 08:27:20.667962+00:00
2a67f,94245,Year 7 Term 3 Assessment,36,34,36,False,45.0,60,2024-07-17 11:23:23.677066+00:00,2024-07-17 11:31:13.477924+00:00
132d4,94245,Year 7 Term 3 Assessment,36,36,36,False,24.0,60,2024-07-04 11:38:54.118815+00:00,2024-07-04 11:55:13.005067+00:00
29a11,94245,Year 7 Term 3 Assessment,36,36,36,False,30.0,60,2024-07-12 08:09:47.374864+00:00,2024-07-12 08:29:43.641577+00:00
4995d,94245,Year 7 Term 3 Assessment,36,36,36,False,3.0,60,2024-07-18 15:46:26.791766+00:00,2024-07-18 15:49:27.780376+00:00
e4631,94245,Year 7 Term 3 Assessment,36,36,36,False,35.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:31:02.230417+00:00
d9ddf,94245,Year 7 Term 3 Assessment,36,36,36,False,21.0,60,2024-07-12 08:02:09.913770+00:00,2024-07-12 08:06:10.832043+00:00
ecbaa,94245,Year 7 Term 3 Assessment,36,36,36,False,49.0,60,2024-07-18 12:51:24.432537+00:00,2024-07-18 13:00:50.555676+00:00
239fc,94245,Year 7 Term 3 Assessment,36,36,36,False,50.0,60,2024-07-05 11:14:42.077076+00:00,2024-07-05 11:19:48.226084+00:00
d9dc8,94245,Year 7 Term 3 Assessment,36,36,36,False,24.0,60,2024-06-18 13:18:13.626869+00:00,2024-06-18 13:18:48.226104+00:00
7691f,94245,Year 7 Term 3 Assessment,36,36,36,False,37.0,60,2024-07-12 14:01:53.988892+00:00,2024-07-12 14:36:30.934055+00:00
52994,94245,Year 7 Term 3 Assessment,36,36,36,True,0.0,60,2024-07-04 09:30:09.757479+00:00,2024-07-04 09:50:43.319159+00:00
753b4,94245,Year 7 Term 3 Assessment,36,33,36,False,41.0,60,2024-07-11 14:41:38.496331+00:00,2024-07-11 15:03:06.807273+00:00
e339f,94245,Year 7 Term 3 Assessment,36,33,36,False,37.0,60,2024-07-16 19:24:46.502512+00:00,2024-07-16 19:31:18.354158+00:00
b7099,94245,Year 7 Term 3 Assessment,36,27,36,False,13.0,60,2024-07-11 14:41:38.496331+00:00,2024-07-11 14:55:54.454294+00:00
8b4a1,94245,Year 7 Term 3 Assessment,36,36,36,False,38.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:15:59.846768+00:00
39ccb,94245,Year 7 Term 3 Assessment,36,36,36,False,36.0,60,2024-07-01 17:07:28.710593+00:00,2024-07-01 17:22:00.167549+00:00
99b79,94245,Year 7 Term 3 Assessment,36,36,36,False,38.0,60,2024-06-18 10:19:36.876478+00:00,2024-06-18 10:30:29.041969+00:00
5b8b7,94245,Year 7 Term 3 Assessment,36,36,36,False,18.0,60,2024-07-05 11:14:42.077076+00:00,2024-07-05 11:17:31.617364+00:00
412e9,94245,Year 7 Term 3 Assessment,36,36,36,False,53.0,60,2024-07-12 08:09:47.374864+00:00,2024-07-12 08:10:48.327824+00:00
09b4f,94245,Year 7 Term 3 Assessment,36,31,36,False,24.0,60,2024-07-17 14:47:39.329509+00:00,2024-07-17 15:16:28.230239+00:00
b3812,94245,Year 7 Term 3 Assessment,36,36,36,True,0.0,60,2024-07-12 14:01:53.988892+00:00,2024-07-12 14:37:33.847848+00:00
32497,94245,Year 7 Term 3 Assessment,36,36,36,False,40.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:40:26.969680+00:00
c02e0,94245,Year 7 Term 3 Assessment,36,36,36,False,40.0,60,2024-07-14 11:01:22.582547+00:00,2024-07-14 11:32:42.207593+00:00
fead1,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,13.0,60,2023-09-11 12:31:00.267000+00:00,2023-09-20 10:15:11.114869+00:00
99f61,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,0.0,60,2023-09-22 12:02:39.306000+00:00,2023-09-22 12:02:48.688615+00:00
55d32,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,18.0,60,2023-10-10 13:47:22.474714+00:00,2023-10-10 13:49:34.213600+00:00
2fec2,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,29.0,60,2023-09-11 20:07:42.426000+00:00,2023-09-20 09:54:46.448988+00:00
50446,ffd60,Year 7 Baseline Assessment 2023,46,45,46,False,47.0,60,2023-09-15 14:57:32.103000+00:00,2023-09-20 10:15:27.616082+00:00
1e97d,ffd60,Year 7 Baseline Assessment 2023,46,29,46,False,22.0,60,2023-09-28 15:52:40.622000+00:00,2023-09-28 16:00:09.783950+00:00
6bf49,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,18.0,60,2023-09-26 14:17:03.876000+00:00,2023-09-26 14:29:17.013319+00:00
ecffc,ffd60,Year 7 Baseline Assessment 2023,46,34,46,False,14.0,60,2023-09-25 13:27:45.785000+00:00,2023-09-25 14:48:21.728162+00:00
e5a42,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,32.0,60,2023-09-09 17:45:14.444000+00:00,2023-09-20 09:58:25.240408+00:00
aa6e5,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,48.0,60,2023-09-13 18:16:52.232000+00:00,2023-09-20 09:58:27.406893+00:00
de18f,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,39.0,60,2023-09-06 14:38:19.239000+00:00,2023-09-20 10:03:45.254916+00:00
7c164,ffd60,Year 7 Baseline Assessment 2023,46,45,46,False,49.0,60,2023-09-24 20:24:22.294000+00:00,2023-09-24 20:29:31.594700+00:00
ecefd,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,48.0,60,2023-09-19 17:14:24.651000+00:00,2023-09-19 18:10:55.555660+00:00
20c56,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,24.0,60,2023-09-14 10:15:26.227000+00:00,2023-09-20 10:13:05.641773+00:00
caea2,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,52.0,60,2023-09-13 14:43:22.482000+00:00,2023-09-20 10:13:06.125014+00:00
9188b,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,39.0,60,2023-09-21 13:39:28.373000+00:00,2023-09-21 14:46:36.197833+00:00
a29bf,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,47.0,60,2023-09-15 15:01:28.547000+00:00,2023-09-20 10:04:53.486018+00:00
566ee,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,54.0,60,2023-09-28 07:15:26.152000+00:00,2023-09-28 08:57:37.017904+00:00
ffad5,ffd60,Year 7 Baseline Assessment 2023,46,2,46,False,2.0,60,2023-09-11 17:15:33.195000+00:00,2023-09-20 09:54:40.341992+00:00
3244a,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,55.0,60,2023-09-12 19:35:59.199000+00:00,2023-09-20 10:10:40.515218+00:00
ae338,ffd60,Year 7 Baseline Assessment 2023,46,43,46,False,31.0,60,2023-11-16 16:17:58.989649+00:00,2023-11-16 16:54:53.935737+00:00
fcdcd,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,28.0,60,2023-09-18 08:32:16.786000+00:00,2023-09-20 10:14:12.557679+00:00
56776,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,39.0,60,2023-09-23 19:42:10.853000+00:00,2023-09-23 20:04:03.493485+00:00
5944b,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,25.0,60,2023-10-20 14:26:14.783780+00:00,2023-10-20 14:30:20.663568+00:00
f22c9,ffd60,Year 7 Baseline Assessment 2023,46,39,46,False,30.0,60,2023-09-17 14:05:56.492000+00:00,2023-09-20 10:15:12.683747+00:00
c2abc,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,51.0,60,2023-10-23 08:38:19.749548+00:00,2023-10-23 10:06:02.034396+00:00
18f64,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,23.0,60,2023-09-20 17:37:47.072000+00:00,2023-09-20 18:43:50.643871+00:00
df664,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,32.0,60,2023-09-20 11:54:59.387000+00:00,2023-09-20 14:43:35.321926+00:00
a2656,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,29.0,60,2023-09-25 04:33:34.300000+00:00,2023-09-25 05:05:17.242637+00:00
64def,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,51.0,60,2023-09-08 18:50:01.064000+00:00,2023-09-20 10:15:20.230208+00:00
5effb,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,34.0,60,2023-10-11 20:14:50.291505+00:00,2023-10-11 20:54:55.787930+00:00
21579,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,16.0,60,2023-09-13 13:12:24.438000+00:00,2023-09-20 09:56:10.737586+00:00
a022b,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,33.0,60,2023-10-12 20:02:38.883686+00:00,2023-10-12 20:23:32.160967+00:00
f4ac6,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,52.0,60,2023-11-16 15:43:09.771745+00:00,2023-11-16 15:58:40.262028+00:00
585c6,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,54.0,60,2023-09-20 16:59:29.013000+00:00,2023-09-20 17:37:20.528348+00:00
ecc74,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,29.0,60,2023-09-17 11:59:15.446000+00:00,2023-09-20 10:09:47.308309+00:00
66cf0,ffd60,Year 7 Baseline Assessment 2023,46,44,46,False,29.0,60,2023-09-10 16:45:17.466000+00:00,2023-09-20 09:58:36.567742+00:00
f18cc,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,54.0,60,2023-09-23 19:06:11.993000+00:00,2023-09-23 19:19:10.676951+00:00
05f17,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,41.0,60,2023-09-17 13:25:46.909000+00:00,2023-09-20 09:59:43.112520+00:00
b3486,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,21.0,60,2023-09-21 15:13:12.358000+00:00,2023-09-21 15:16:04.014705+00:00
508e7,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,43.0,60,2023-09-15 14:05:29.348000+00:00,2023-09-20 10:07:46.529757+00:00
bbfc9,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,30.0,60,2023-09-15 07:34:38.881000+00:00,2023-09-20 10:03:44.476472+00:00
188d7,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,43.0,60,2023-09-20 14:21:18.005000+00:00,2023-09-20 14:36:11.963974+00:00
9cc26,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,48.0,60,2023-09-13 12:51:43.729000+00:00,2023-09-20 10:06:31.309275+00:00
b8915,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,56.0,60,2023-09-18 17:34:06.927000+00:00,2023-09-20 10:14:31.412018+00:00
c6974,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,21.0,60,2023-09-16 09:48:13.659000+00:00,2023-09-20 10:08:38.464642+00:00
704bc,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,42.0,60,2023-11-18 13:11:38.018633+00:00,2023-11-18 13:21:53.357280+00:00
78cfd,ffd60,Year 7 Baseline Assessment 2023,46,46,46,False,33.0,60,2023-09-18 15:38:51.413000+00:00,2023-09-20 10:14:07.437927+00:00
74913,ffd60,Year 7 Baseline Assessment 2023,46,44,46,False,50.0,60,2023-09-28 08:16:02.910000+00:00,2023-09-28 08:36:21.092011+00:00
